m       s*     sc     sb    
65270   3.026  2.731  2.731  
65271   3.061  2.731  2.731  
65272   2.967  2.731  2.731  
65273   3.2    2.731  2.731  
65274   3.23   2.731  2.731  
65275   3.336  2.731  2.731  
65276   3.949  2.731  2.731  
65277   3.542  2.731  2.731  
65278   3.497  2.731  2.731  
65279   3.655  2.731  2.731  
65280   3.655  2.731  2.731  
65281   3.503  2.731  2.731  
65282   3.061  2.731  2.731  
65283   3.379  2.731  2.731  
65284   3.358  2.731  2.731  
65285   3.655  2.731  2.731  
65286   3.213  2.731  2.731  
65287   3.542  2.731  2.731  
65288   4.02   2.731  2.731  
65289   3.197  2.731  2.731  
65290   3.655  2.731  2.731  
65291   3.026  2.731  2.731  
65292   3.949  2.731  2.731  
65293   3.497  2.731  2.731  
65294   3.23   2.731  2.731  
65295   3.515  2.731  2.731  
65296   2.947  2.731  2.731  
65297   3.214  2.731  2.731  
65298   3.336  2.731  2.731  
65299   2.967  2.731  2.731  
65300   3.2    2.731  2.731  
65301   3.026  2.731  2.731  
65302   3.213  2.731  2.731  
65303   2.947  2.731  2.731  
65304   3.358  2.731  2.731  
65305   3.503  2.731  2.731  
65306   3.949  2.731  2.731  
65307   3.2    2.731  2.731  
65308   3.23   2.731  2.731  
65309   3.515  2.731  2.731  
65310   3.214  2.731  2.731  
65311   3.655  2.731  2.731  
65312   2.967  2.731  2.731  
65313   3.655  2.731  2.731  
65314   3.497  2.731  2.731  
65315   3.542  2.731  2.731  
65316   4.02   2.731  2.731  
65317   3.197  2.731  2.731  
65318   3.061  2.731  2.731  
65319   3.336  2.731  2.731  
65320   3.379  2.731  2.731  
65321   3.949  2.731  2.731  
65322   3.655  2.731  2.731  
65323   3.358  2.731  2.731  
65324   3.542  2.731  2.731  
65325   3.213  2.731  2.731  
65326   2.967  2.731  2.731  
65327   3.497  2.731  2.731  
65328   2.947  2.731  2.731  
65329   3.655  2.731  2.731  
65330   3.515  2.731  2.731  
65331   3.336  2.731  2.731  
65332   3.23   2.731  2.731  
65333   3.026  2.731  2.731  
65334   3.2    2.731  2.731  
65335   3.061  2.731  2.731  
65336   3.214  2.731  2.731  
65337   4.02   2.731  2.731  
65338   3.379  2.731  2.731  
65339   3.197  2.731  2.731  
65340   3.503  2.731  2.731  
65341   3.213  2.731  2.731  
65342   3.2    2.731  2.731  
65343   3.497  2.731  2.731  
65344   3.061  2.731  2.731  
65345   3.655  2.731  2.731  
65346   3.23   2.731  2.731  
65347   3.949  2.731  2.731  
65348   3.358  2.731  2.731  
65349   3.503  2.731  2.731  
65350   4.02   2.731  2.731  
65351   3.197  2.731  2.731  
65352   3.379  2.731  2.731  
65353   3.542  2.731  2.731  
65354   3.515  2.731  2.731  
65355   3.336  2.731  2.731  
65356   3.214  2.731  2.731  
65357   3.026  2.731  2.731  
65358   2.947  2.731  2.731  
65359   3.655  2.731  2.731  
65360   2.967  2.731  2.731  
65361   3.197  2.731  2.731  
65362   3.503  2.731  2.731  
65363   3.358  2.731  2.731  
65364   3.2    2.731  2.731  
65365   3.497  2.731  2.731  
65366   3.655  2.731  2.731  
65367   3.336  2.731  2.731  
65368   3.655  2.731  2.731  
65369   3.379  2.731  2.731  
65370   3.026  2.731  2.731  
65371   4.02   2.731  2.731  
65372   3.061  2.731  2.731  
